Название,Ссылка,Цена,Тип продукта,Страна,Содержание сахара,Цвет,Регион,"Объем, л",Сорт винограда,Классификация,Крепость,Бренд,Рейтинги,Аромат,Вкус,Способ производства,Гастрономия,Награды,Интересные факты,Философия производства,Год,Подарочная упаковка,Состав,Кислотность,Vivino
"Tussock Jumper Cabernet Sauvignon, San Juan",https://verigo.ru/product/tussock-jumper-cabernet-sauvignon,1 590 ₽,Вино,Аргентина,сухое,Интенсивный красный цвет.,Сан Хуан,"0,75",Каберне Совиньон,San Juan,"13,5%",Tussock Jumper,vivino 3.8,"Свежий фруктовый аромат с пряными нотками, придающими сложность.","Вкус приятный, сладковатый с нотами спелых фруктов, нежный, с мягкими и округлыми танинами. Нежные и приятное послевкусие.","Предварительная мацерация при температуре 12ºC в течение 48 часов. Затем  ферментация при температуре от 23°C до 26°C в течение 9 дней с добавлением отборных дрожжей. 30% выдерживается в дубе в течение 3 месяцев (половина французский дуб, половина - американский).","Вино идеально сочетается с мясными блюдами, пастой, пиццей, а также мексиканской кухней.",Gold Medal China Wine & Spirits Awards 2020Gold Medal China Wine & Spirits Awards 2019,"Сан Хуан - второй по площади и значимости винный регион Аргентины, виноградники занимают около 50 тыс. гектар. Холодные ночи и жаркие дни позволяют получать фруктовые красные вина с интенсивной ароматикой.",,,,,,
"Tussock Jumper Carmenere, Colchagua Valley",https://verigo.ru/product/tassok-dzhamper-karmener,1 440 ₽,Вино,Чили,сухое,Насыщенный красно-рубиновый цвет.,Долина Кольчагуа,"0,75",Карменер,Colchagua Valley,14%,Tussock Jumper,vivino 3.7,Аромат с нотами нот черных и красных ягод и едва уловимых оттенков табака.,"Мощный, богатый, великолепно сбалансированный вкус с хорошей кислотностью, мягкими танинами и нюансами вишни и ежевики в долгом послевкусии.",Традиционная винификация.,Идеально сочетается с красным мясом ягненка с кисло-сладким сливовым соусом с жареным картофелем.,,80% всех мировых посадок карменера приходится именно на Чили. 24 ноября отмечается Международный день карменера.,,,,,,
"Tussock Jumper Cava Reserva, DO Cava",https://verigo.ru/product/tassok-dzhamper-kava-rezerva,2 050 ₽,Игристое вино,Испания,брют,Лимонно-желтого чистого цвета с красивыми пузырьками.,Валенсия,"0,75",Макабео; Шардоне,DO Cava,"11,5%",Tussock Jumper,,"Аромат интенсивный, яркий, фруктовый, с нотками свежей булочки.","Вкус свежий, с яблочными тонами. Очень сбалансированное и гармоничное, с долгим приятными послевкусием",Традиционный метод производства игристого вина. Вторичная ферментация в бутылке не менее 15 месяцев.,"Игристое вино идеально в качестве аперитива, а также станет прекрасным сопровождением для мясных закусок, моллюсков, нежирной рыбы, десертов и шоколада.",,,,,,,,
Tussock Jumper Chardonnay,https://verigo.ru/product/tussock-jumper-chardonnay,1 740 ₽,Вино,Франция,сухое,Прекрасного золотистого цвета,,"0,75",Шардоне,,13%,Tussock Jumper,,"Яркие оттенки абрикоса, груши и зеленого яблока в аромате","Свежий и фруктовый вкус, ноты грецкого ореха и фундука, маслянистая структура",,"Вино идеально сочетается с морепродуктами, рыбой и колбасными изделиями. Незаменимо оно и в качестве аперитива.",,,,,,,,
"Tussock Jumper Chenin Blanc, WO Western Cape",https://verigo.ru/product/tassok-dzhamper-shenin-blan,1 440 ₽,Вино,ЮАР,сухое,Вино привлекательного золотисто-соломенного цвета.,Вестерн Кейп,"0,75",Шенен Блан,WO Western Cape,13%,Tussock Jumper,vivino 3.7,"Свежий аромат с доминирующими оттенками тропических фруктов, нюансами цветов гуавы, дыни, груши и лайма.","Вино обладает мягким, свежим, чистым, шелковистым вкусом с нотами спелого персика, ананаса и приятной кислинкой в долгом послевкусии.",,"Вино выступает прекрасным аперитивом, а также великолепно сочетается с блюдами итальянской кухни, особенно с пастой с морепродуктами, станет прекрасным сопровождением салатов и легких блюд.",,"ЮАР — крупнейший производитель шенен блана (21 500 гектаров, более половины всех посадок сорта в мире). Сорт завезли в Южную Африку гугеноты (протестанты), бежавшие из Франции в конце XVII века. В течение многих лет он был известен в ЮАР под названием стин.",,,,,,
Tussock Jumper Grenache,https://verigo.ru/product/tussock-jumper-grenache,1 740 ₽,Вино,Франция,сухое,Вино красивого бледно-розового цвета.,,"0,75",Гренаш,,"12,5%",Tussock Jumper,,Насыщенный фруктовый аромат,"Свежий, округлый вкус с превосходно сбалансированной кислотностью, фруктовыми оттенками",,"Прекрасно сочетается с мясом, сырами и пастой. Идеально в качестве аперитива.",,,,,,,,
Tussock Jumper Home Edition,https://verigo.ru/product/tussock-jumper-home-edition,880 ₽,Вино,Россия,сухое,Тёмно-рубинового цвета.,,"0,75",Каберне Совиньон; Мерло,ЗГУ Кубань. Таманский полуостров,13%,Tussock Jumper,,"Насыщенный фруктовый аромат с оттенками черных ягод, сафьяна, лесной фиалки, мака и свежей выпечки.","Вкус свежий, сбалансированный, мягкий, с оттенками спелых темных ягод, фруктов, легкими штрихами кожи и сдобы. Послевкусие длительное, перечно-ягодное.",Традиционная ферментация при контролируемой температуре. Яблочно-молочное брожение на мезге в ёмкости из нержавеющей стали.,"В качестве гастропары идеально подать запеченную свинину с ягодным соусом, шашлык, пиццу с томатным соусом.",,"Вино создано из винограда с лучших фанагорийских виноградников региона «Кубань. Таманский полуостров» с контролем урожайности. Используются самые передовые агротехнические технологии, а урожай собирают вручную в момент, когда ягоды достигают оптимальной степени зрелости.",,,,,,
Tussock Jumper Home Edition,https://verigo.ru/product/tussock-jumper-home-edition-2,880 ₽,Вино,Россия,сухое,Соломенно-желтого цвета с ярким блеском.,,"0,75",Совиньон Блан; Шардоне,ЗГУ Кубань. Таманский полуостров,13%,Tussock Jumper,,"Аромат очень свежий, травянисто-цветочный, с цитрусовыми штрихами и нотой белого персика.","Вкус полный, освежающий, сбалансированный, наполнен минеральными, цитрусовыми и фруктовыми нотами с легким сливочным оттенком. Длительное послевкусие с яркой цедрой на финише.",Традиционная ферментация при контролируемой температуре 15-16 градусов. Используется технология остановки брожения холодом.,"Прекрасное дополнение к сырному ассорти, речной рыбе с овощами, ризотто с морепродуктами, летним салатам.",,"Небольшое количество растворенного углекислого газа значительно улучшает аромат и вкус белого вина, придает ему свежесть и яркость. Фанагорийские виноделы специально выстраивают технологические процессы так, чтобы сохранить остаточную газацию на оптимальном уровне в зависимости от типа вина.",,,,,,
"Tussock Jumper Malbec, San Juan",https://verigo.ru/product/tassok-dzhamper-malbek,1 590 ₽,Вино,Аргентина,сухое,Вино глубокого фиолетового цвета.,Сан Хуан,"0,75",Мальбек,San Juan,13%,Tussock Jumper,vivino 3.8,"В аромате переплетаются нотки спелой вишни, фиалки и ванили.",Яркий вкус с оттенками лесных ягод и спелой сливы. В сладковатом послевкусии можно почувствовать нюансы табачных листьев.,"Традиционная ферментация в стали с последующей выдержкой: 70% кюве – во французских бочках и 30% - в американских в течение 6 месяцев, а затем ещё 3 месяца в бутылке.","Вино идеально сочетается с мясными блюдами, пастой, сырами и овощами, приготовленными на гриле.",,"Родиной мальбека является Франция, но там его культивируют лишь в нескольких регионах на юго-западе. Этот теплолюбивый сорт прибыл в Аргентину в конце XIX века  и стал визитной карточкой страны.",,,,,,
"Tussock Jumper Moscato, DO Valencia",https://verigo.ru/product/tassok-dzhamper-moskato,1 830 ₽,Вино,Испания,сладкое,Вино светло-лимонного цвета.,Валенсия,"0,75",Мускат,DO Valencia,11%,Tussock Jumper,vivino 3.7,"Свежий, сладкий аромат грейпфрута и зеленого винограда.",Во вкусе ноты спелых и сочных персиков. Нежный шипучий каскад пузырьков и сладкое послевкусие.,,Отлично подходит в качестве аперитива и в сочетании с вкусными сладкими кондитерскими изделиями и сорбетами.,,,,,,,,
"Tussock Jumper Moscato Rose, DO Valencia",https://verigo.ru/product/tassok-dzhamper-moskato-roze,1 830 ₽,Вино,Испания,сладкое,Вино нежно-розового цвета.,Валенсия,"0,75",Гарнача; Мускат,DO Valencia,11%,Tussock Jumper,vivino 3.9,"Свежий, сладкий, гармоничный аромат.",Во вкусе ноты сухофруктов и спелой клубники. Нежный шипучий каскад пузырьков и сладкое послевкусие,,"Вино является отличным аперитивом, а также гармонично сочетается с салатами, десертами и фруктами.",,,,,,,,
"Tussock Jumper Pinotage, WO Western Cape",https://verigo.ru/product/tussock-jumper-pinotage,1 480 ₽,Вино,ЮАР,сухое,Глубокий рубиновый цвет.,Вестерн Кейп,"0,75",Пинотаж,WO Western Cape,"14,5%",Tussock Jumper,,Яркий аромат темных ягод и слив с тонкими оттенками дыма и пряностей.,"Гладкая и бархатистая текстура с нотками ванили и тостов. Полнотелое, с приятным послевкусием.",Традиционная винификация с выдержкой в дубе.,"Идеально сочетается с мясом на гриле, тушеным рагу, азиатской едой.",,"«Страны Нового Света хотят, чтобы их ассоциировали с определенным уникальным сортом, будь то чилийский карменер, аргентинский мальбек или южноафриканский пинотаж», — писал в 2009 году Ричард Хемминг (Master of Wine). Действительно, пинотаж считается главным южноафриканским сортом.",,,,,,
"Tussock Jumper Pinot Grigio, DOC Delle Venezie",https://verigo.ru/product/tassok-dzhamper-pino-gridzho,1 690 ₽,Вино,Италия,сухое,Соломенно-жёлтого цвета с золотистыми бликами.,Венето,"0,75",Пино Гриджо,DOC Delle Venezie,12%,Tussock Jumper,,"Нежный аромат яблока, ананаса, лимона переплетается с цветочными нотками.","Приятный мягкий вкус с оттенками зелёного яблока, персика и цукатов. Легкотелое вино с длительным цитрусовым послевкусием.","Бережный отжим, ферментация в стальных ёмкостях с непродолжительной выдержкой в бутылке.","Аперитив, сопровождение к лёгким закускам, кальмарам на гриле, зелёным салатам.",Серебряная медаль на China Wine & Spirits Awards,"На этикетке вина изображён итальянский волк, популяция которого увеличивается с каждым годом. В итальянской культуре волк фигурирует в известном мифе о Ромуле и Реме, легендарных основателях Рима.",,,,,,
Tussock Jumper Pinot Noir,https://verigo.ru/product/tassok-dzhamper-pino-nuar-tussock-jumper-pinot-noir,1 740 ₽,Вино,Франция,сухое,Красивого рубинового цвета.,,"0,75",Пино Нуар,,"12,5%",Tussock Jumper,,"В аромате тона спелых фруктов, вишни, шоколада и специй.","Элегантное и изысканное, с экзотическим букетом в сочетании с бархатной обволакивающей структурой.",,"Вино идеально для сопровождения блюд средиземноморской кухни, подходит к закускам, мясу на гриле.",,,,,,,,
"Tussock Jumper Primitivo, IGP Puglia",https://verigo.ru/product/tussock-jumper-primitivo-igp-puglia,1 830 ₽,Вино,Италия,полусухое,Насыщенного вишнёвого цвета.,Апулия,"0,75",Примитиво,IGP Puglia,"13,5%",Tussock Jumper,,"Интенсивный аромат, в котором раскрываются тона спелой вишни, шелковицы, клубники и средиземноморских трав.","Мягкое вино с прекрасным балансом и бархатной текстурой. Во вкусе – россыпь красных ягод: клубника, малина и лесная земляника. Длительное пряное послевкусие.",Традиционная ферментация в стальных ёмкостях и непродолжительная выдержка.,"Прекрасное дополнение к говядине с ягодным соусом, выдержанным сырам и бараньим рёбрам на гриле.",,"Примитиво – один из самых «непримитивных» сортов! В переводе с латыни его название переводится, как «раннеспелый». На своей родине в жаркой Апулии он даёт ягодные и легко пьющиеся вина.",,,,,,
"Tussock Jumper Prosecco, Prosecco DOC Treviso",https://verigo.ru/product/tassok-dzhamper-prosekko,2 230 ₽,Игристое вино,Италия,сухое,Соломенно-желтого цвета с изумрудными отблесками.,Венето,"0,75; тубус",Глера,DOC Prosecco Treviso,11%,Tussock Jumper,vivino 3.9,"В аромате раскрываются нюансы яблок, лайма, груши и мёда.","Лёгкий и фруктовый вкус с прекрасным балансом и хорошей кислотностью. Игристость, нежная и ненавязчивая, добавляет вину живости, а послевкусие остаётся чистым, с тонкими минеральными нотами и намёком на цветочный мёд.",Ферментация в стали. Вторичное брожение проходит в стальных чанах по методу шарма.,"Прекрасный аперитив, а также сопровождение к овощному салату, гребешкам и устрицам.",,"Лиса, любительница спелого винограда, является символом этого вина. Согласно народной примете, если лиса ест виноград, пора собирать урожай.",,,тубус,,,
"Tussock Jumper Prosecco Rose Millesimato, DOC Prosecco",https://verigo.ru/product/tassok-dzhamper-prosekko-roze-millezimato,2 220 ₽,Игристое вино,Италия,брют,Нежно-розового красивого цвета.,Венето,"0,75",Глера; Пино Нуар,DOC Prosecco,11%,Tussock Jumper,,"В аромате раскрываются оттенки дикой клубники, малины, красной смородины и вишни.","Лёгкий и свежий вкус с нюансам лайма, абрикосов, вишни и малины. Длительное ягодное послевкусие.",Ферментация в стали. Вторичное брожение проходит в стальных чанах по методу шарма.,"Прекрасный аперитив, а также сопровождение к севиче, нежному лососю и ризотто с морепродуктами.",,"Согласно одной из версий, название «просекко» имеет славянские корни. Вино получило своё имя в честь деревни Prosecco, расположенной в Триесте, недалеко от границы со Словенией. Само же это название восходит к праславянскому слову «просека» (prosěkъ), что означает «полосу в лесу, очищенную от деревьев».",,,,,,
Tussock Jumper Red Blend,https://verigo.ru/product/tussock-jumper-red-blend,1 790 ₽,Вино,Португалия,сухое,Вино красивого рубиново-красного цвета.,Алентежу,"0,75",Арагонеш; Торига Насионал,,"13,5%",Tussock Jumper,,В сложном аромате вина доминируют оттенки белых цветов и древесные ноты.,"Вино привлекает насыщенным, фруктовым, прекрасно сбалансированным вкусом с округлыми танинами, оттенками кокоса, шоколада и пряными нюансами в долгом послевкусии.",,"Идеально сочетается с сырами, мясной нарезкой и пастой.",,,,,,,,
"Tussock Jumper Riesling, Rheinhessen",https://verigo.ru/product/tassok-dzhamper-risling,1 790 ₽,Вино,Германия,полусладкое,Светло-соломенного цвета.,Рейнхессен,"0,75",Рислинг,Rheinhessen,"10,5%",Tussock Jumper,vivino 3.9,"Нежный аромат лимона и дыни, зелёного яблока и сладкой сливы.",Свежий и чистый вкус с пряной рислинговой кислинкой и бодрящим послевкусием.,"Сбор зрелых гроздей, ферментация при контролируемых температурах в резервуарах из нержавеющей стали. После брожения вино в течение трех месяцев проводит на тонком осадке «sur-lie».","Прекрасно дополнит жареную курицу, яблочный пирог с шариком мороженого и  не сильно сладкий десерт.",,"Вина из сорта рислинг способны явно отражать терруар местности. В окрестностях Нирштайна, где климат теплее, виноград прекрасно созревает, в то же время вина получаются не приторно сладкие, с приятной кислинкой.",,,,,,
Tussock Jumper Saperavi,https://verigo.ru/product/tussock-jumper-saperavi,1 060 ₽,Вино,Грузия,сухое,Ярко-рубиновый цвет,,"0,75",Саперави,,13%,Tussock Jumper,,"Выраженный фруктовый букет, в котором доминируют оттенки вишни, черноплодной рябины и шелковицы","Вкус  тонкий, гармоничный, сочный, яркий, богатый, насыщенный, фруктовый, с приятной терпкостью, бархатистой текстурой и долгим послевкусием с нюансами спелой вишни.",,Идеально сочетается с мясными блюдами и блюдами на гриле,,,,,,,,
"Tussock Jumper Sauvignon Blanc, Marlborough",https://verigo.ru/product/tussock-jumper-sauvignon-blanc-marlborough,2 020 ₽,Вино,Новая Зеландия,сухое,Вино светло-соломенного цвета.,Мальборо,"0,75",Совиньон Блан,Marlborough,"12,5%",Tussock Jumper,WS 89; vivino 3.9,Изумительный фруктово-ягодный аромат с доминирующими оттенками дыни и черной смородины.,"Очень свежее вино с ярким, насыщенным, чистым вкусом и долгим послевкусием с приятными оттенками тропических фруктов.",,"Вино великолепно в качестве аперитива, а также хорошо сочетается с рыбными блюдами, мясом птицы и морепродуктами.",,,,,,,,
"Tussock Jumper Sauvignon Blanc Travel Edition, IGP Cotes de Gascogne",https://verigo.ru/product/tussock-jumper-sauvignon-blanc-travel-edition-igp-cotes-de-gascogne,1 760 ₽,Вино,Франция,сухое,Цвет светлый с зелёным отблеском,Юго-Запад,"0,75",Совиньон Блан,IGP Cotes de Gascogne,"12,5%",Tussock Jumper,,"В аромате тона сочного зелёного яблока, зелень лопуха, нотки смородинового листа и личи.","Во вкусе нюансы белого грейпфрута, лёгкий намёк на луговые травы и много известняковой минеральности, приятная освежающая кислотность белой смородины",,"Идеально сочетается с морепродуктами, блюдами из летних овощей и легкими сырами",,,,,,,,
"Tussock Jumper Shiraz, South Eastern Australia",https://verigo.ru/product/tassok-dzhamper-shiraz,1 830 ₽,Вино,Австралия,полусухое,Насыщенного фиолетового цвета с пурпурным оттенком.,Юго-Восточная Австралия,"0,75",Шираз,South Eastern Australia,14%,Tussock Jumper,vivino 3.8,Интенсивный аромат вина привлекает шоколадными нюансами и оттенками черных лесных ягод.,"Вкус вина яркий, свежий, хорошо сбалансированный, с бархатистой текстурой, нотами спелой вишни и пряным послевкусием.",Выдерживается 12 месяцев в американских и французских баррелях,"Вино составит отличную пару пасте, телятине и красному мясу.",,,,,,,,
"Tussock Jumper Tempranillo, VdT Tierra de Castilla",https://verigo.ru/product/tassok-dzhamper-tempranilo-tussock-jumper-tempranillo,1 740 ₽,Вино,Испания,сухое,Вино интенсивного фиолетового цвета.,Кастилия-Ла-Манча,"0,75",Темпранильо,VdT Tierra de Castilla,"13,5%",Tussock Jumper,,"Яркий, сложный аромат с доминирующими оттенками сочных ягод и лакрицы.","Щедрый, хорошо сбалансированный вкус с яркой танинностью, оттенками красных фруктов и сливочным послевкусием.",Выдержка в течение 6 месяцев в американских и французских дубовых бочках.,"Прекрасно сочетается с красным и белым мясом, дичью, мягкими сырами и макаронными изделиями.",,,,,,,,
"Tussock Jumper Vinho Verde, DOC Vinho Verde",https://verigo.ru/product/tassok-dzhamper-vinyu-verde,1 630 ₽,Вино,Португалия,полусухое,Обладает светло-желтым цветом.,Винью Верде,"0,75",Аринту; Лоурейру; Тражадура,DOC Vinho Verde,11%,Tussock Jumper,,Цветочные ароматы с тропическими нотами.,Освежающий и фруктовый вкус Длительное стойкое послевкусие,,"Идеально сочетается с овощами или рыбой на гриле, салатами, пиццей или в качестве аперитива.",,,,,,,,
Tussock Jumper Zinfandel,https://verigo.ru/product/tassok-dzhamper-zinfandel,2 100 ₽,Вино,США,сухое,Насыщенного рубинового цвета.,Калифорния,"0,75",Зинфандель,California,"13,5%",Tussock Jumper,vivino 3.8,"Аромат лесных ягод и малины, в котором переплетаются фруктовые и древесные оттенки.","Яркий, богатый вкус красных ягод и чёрной смородины. Мягко бодрящее послевкусие с нотками гвоздики.","Традиционная ферментация в стальных ёмкостях, бережный отжим. Выдержка в дубовых бочках в течение нескольких месяцев.","Идеально сочетается со стейком из красного мяса на гриле, пастой с томатным соусом и мясными закусками.",Best Value California Wine Spectator Wine Enthusiast – 87/1002022 – Золотая медаль на China Wine & Spirits Awards,"На этикетке этого вина изображён бизон, который официально стал национальным животным Соединенных Штатов 10 мая 2016 года после подписания соответствующего закона.",,,,,,
"Tussok Jumper Garnacha, DO Carinena",https://verigo.ru/product/tussok-jumper-garnacha-dop-carinena,1 620 ₽,Вино,Испания,сухое,Вино ярко-рубинового цвета.,Арагон,"0,75",Гарнача,DO Carinena,14%,Tussock Jumper,,"Яркий аромат с доминирующими оттенками сочных ягод малины, клубники и красного перца","Среднетелое вино с нотами красных фруктов и минеральными оттенками, в послевкусии - пряные ноты",Выдержка в течение 6 месяцев в американских и французских дубовых бочках.,"Прекрасно сочетается с красным и белым мясом, дичью, мягкими сырами и макаронными изделиями.",,,,,,,,
"Verdegar, DOC Vinho Verde",https://verigo.ru/product/verdegar,1 470 ₽,Вино,Португалия,полусухое,"Цвет светло-желтый, с цитрусовым оттенками.",Винью Верде,"0,75",Азал; Аринту; Лоурейру; Тражадура,DOC Vinho Verde,9%,Verdegar,vivino 4.0,Аромат свежих яблок и цитрусовых.,"Вкус свежий, легкий, хорошо сбалансированный, округлый, с хрустящей кислотностью, богатыми тонами зеленых яблок и цитрусовых фруктов, с легкой шипучестью",Деликатное насыщение CO2 перед розливом,Отлично в качестве аперитива и как сопровождение блюд средиземноморской кухни,,,,,,,,
"Verdegar Escolha, DOC Vinho Verde",https://verigo.ru/product/verdegar-eskolha,1 590 ₽,Вино,Португалия,полусухое,Обладает светло-желтым цветом.,Винью Верде,"0,75",Аринту; Лоурейру; Тражадура,DOC Vinho Verde,11%,Verdegar,vivino 4.1,"В аромате цитрусовые, яблочные и грушевые оттенки.","Вкус свежий, легкий, сбалансированный, с хрустящей кислотностью, сладкими яблочными нотами, легкой шипучестью и свежим послевкусием",Деликатное насыщение CO2 перед розливом,"Рекомендуется подавать к  сырам, мясным закускам, спагетти и ризотто",,,,,,,,
"Verdegar Rosado, DOC Vinho Verde",https://verigo.ru/product/verdegar-espadeyru,1 590 ₽,Вино,Португалия,полусухое,Обладает красивым розовым цветом.,Винью Верде,"0,75",Азал Тинто; Борракал; Виньао; Эспадейру,DOC Vinho Verde,"9,5%",Verdegar,vivino 4.1,Аромат свежей летней клубники с минеральными нюансами,"Вкус мягкий, сбалансированный, с легкой шипучестью. В длительном послевкусии – нежные ягодные нотки.",Деликатное насыщение CO2 перед розливом,"Идеально подходит в качестве аперитива, для легких закусок, салатов и рыбных блюд",,,,,,,,
"Vidilla Verdejo, DO Rueda",https://verigo.ru/product/vidilla-verdejo-do-rueda,2 320 ₽,Вино,Испания,сухое,Цвет  привлекательный легкий зеленовато-желтый.,Кастилья и Леон,"0,75",Вердехо,DO Rueda,"13,5%",Gil Family Estates,vivino 3.8,"Ароматы белых фруктов подчеркнуты, поскольку они смешаны с травянистыми нотами, такими как лавр, фенхель и тимьян.","Вкус хорошо сбалансирован с минеральными нотками и освежающей кислотностью, типичные для сорта Вердехо горьковатые нотки.","Сбор урожая осуществлялся вручную, виноград подвергался прессованию, а виноградное сусло ферментировалось в резервуарах из нержавеющей стали при контролируемой температуре","Вино можно сочетать с морепродуктами, такими как фаршированные мидии, устрицами, креветками и морскими гребешками, рыбой, овощами, рисом и макаронами.",,,,,,,,
Vigna Pinino Brunello di Montalcino,https://verigo.ru/product/vigna-pinino-brunello-di-montalcino,7 990 ₽,Вино,Италия,сухое,Глубокого рубинового цвета с гранатовым блеском.,Тоскана,"0,75",Санджовезе,DOCG Brunello di Montalcino,14%,Pinino,AG 91; Decanter 92; Ff 92; JS 93; RP 94,"Букет раскрывается постепенно. Спелая вишня, слива, малина, затем ноты сушёных трав: шалфея, чабреца, лёгкий дымок кожи и табака. С возрастом появляются тонкие оттенки трюфеля, чёрного шоколада и вяленых фиников, в глубине можно услышать тёплый бальзамический шлейф ладана и кожи.","Мощное, но элегантное. Сочная кислинка спелой вишни и ежевики переплетается с бархатистыми танинами, которые обволакивают нёбо. Намёки на кофе, какао-бобы и грецкий орех, а также длительный финал с лёгкой горчинкой специй, мокко и минеральным отзвуком тосканских глин.",Ручной сбор. Традиционная ферментация в стальных ёмкостях. Выдержка в бочках в течение 30 месяцев.,"Отлично сочетается с оссобуко, грибным ризотто, блюдами из дичи и сырами Пармиджано-Реджано, Грана Падано, Грюйер.",Robert Parker – 94/100James Suckling – 93/100Falstaff Brunello Trophy – 92/100Vinous – 91/100Decanter – 92/100,"Винья Пинино Брунелло ди Монтальчино – это эксклюзивное вино с одного виноградника, расположенного вокруг винного погреба на севере Монтальчино. Вино с великолепной структурой, балансом фруктовой зрелости и терпкости, которое с годами становится ещё более гармоничным.",,2019,,,,
Yarran Cabernet Sauvignon,https://verigo.ru/product/yarran-cabernet-sauvignon,3 250 ₽,Вино,Австралия,сухое,Тёмно-фиолетового красивого цвета.,Юго-Восточная Австралия,"0,75",Каберне Совиньон,South Eastern Australia,14%,Yarran,,"В бокале раскрывается ароматами вишни, чёрной смородины, ежевики, дикой малины, клубники и ванили.","Среднетелое, хорошо сбалансированное и элегантное во вкусе, с бархатистыми танинами и оттенками смородины, сливы и вишни в долгом послевкусии.",Оксидативная винификация в бочках при контролируемых температурах. Выдержка в стальных ёмкостях и французских бочках в течение нескольких месяцев.,"Прекрасно дополнит мясо на гриле, утиную ножку и твёрдые сыры.",Dark Horse Winery of The Year 20215 star Winery 2021 – Halliday Wine Company,"Виноградники располагаются в регионах Bendigo (Бендиго) и Hilltops (Хиллтопс) в штатах Виктория и Новый Южный Уэльс.                                                                   «Ярран Каберне производит самый неожиданный и потрясающий эффект, да ещё и за такие деньги! Ни слова больше!» – Джеймс Холлидей, известный винный критик австралийских вин.",органика,2019,,,,
Yarran Chardonnay,https://verigo.ru/product/yarran-chardonnay,3 250 ₽,Вино,Австралия,сухое,Золотистого соломенного цвета.,Юго-Восточная Австралия,"0,75",Шардоне,South Eastern Australia,"12,5%",Yarran,,"Яркие ароматы персика, ананаса и манго, а также жёлтого яблока и хлебного тоста.","Освежающее, фруктовое и сочное шардоне. На нёбе можно почувствовать нотки манго и персика, а также айвы и ванили. Длительное сливочное послевкусие.","Мягкое прессование, винификация в стали. Выдержка в стальных ёмкостях и бочках в течение нескольких месяцев.","Аккомпанемент к мягким сырам, жареной курице и стейку из лосося.",Dark Horse Winery of The Year 20215 star Winery 2021 – Halliday Wine Company,"Виноградники расположены в регионе Riverina (Риверина) в местечке Йенда. Именно там располагается историческая винодельня Yarran, названная в часть одноимённого дерева!",органика,2022,,,,
Yarran Shiraz,https://verigo.ru/product/yarran-shiraz,3 250 ₽,Вино,Австралия,сухое,Насыщенного рубинового цвета с фиолетовым оттенком.,Юго-Восточная Австралия,"0,75",Шираз,South Eastern Australia,14%,Yarran,,"Восхитительный аромат вишни, сливы, ежевики и фиалки. Сладкие специи, табак и кофе раскрываются вторыми голосами.","Структурированное вино с мягкими танинами, яркой кислотностью. Округлое, сочное и фруктовое с длительным фруктово-пряным послевкусием.",Традиционная ферментация в стали. Выдержка в американских и французских бочках в течение нескольких месяцев.,"Дополнит бараньи рёбрышки, стейки на гриле и пироги с мясом.",Dark Horse Winery of The Year 20215 star Winery 2021 – Halliday Wine Company,"Виноградники располагаются в регионах Heathcote (Хиткоут), Bendigo (Бендиго) и Hilltops (Хиллтопс) в штатах Виктория и Новый Южный Уэльс. Высоты около 600 м создают здесь прохладные условия для производства свежего и ягодного шираза.",органика,2019,,,,
"Сhateau Grand Plantey, AOP Bordeauх",https://verigo.ru/product/shateau-grand-plantey-aop-bordeau-2,2 130 ₽,Вино,Франция,сухое,Бледно-соломенного цвета.,Бордо,"0,75",Совиньон Блан,AOP Bordeaux,"13,5%",Chateau Grand Plantey,,"В бокале раскрывается ароматами цитрусов, зелёного яблока, свежего сена и грейпфрута.","Освежающее и живое на нёбе, с яркой кислотностью и средним телом. Раскрываются нотки цедры лимона, грейпфрута и крыжовника с травянистыми оттенками.",Традиционная ферментация в стальных ёмкостях.,"Подавать к блюдам из морепродуктов, птицы и овощному салату.",,"Совиньон блан называют «джин-тоником» нашего времени благодаря его невероятной популярности по всему миру. Франция является лидером по посадкам совиньон блана, где он является одним из основных сортов для производства белых вин региона Бордо.",,,,,,
"Сhateau La Fleur Peyrabon, AOP Pauillac, AOP Pauillac",https://verigo.ru/product/chateau-la-fleur-peyrabon-aop-pauillac,9 980 ₽,Вино,Франция,сухое,Красивого рубинового цвета с фиолетовыми оттенками.,Бордо,"0,75",Каберне Совиньон; Мерло; Пти Вердо,AOP Pauillac,13%,Chateau La Fleur Peyrabon,,"Интенсивный аромат тёмной сливы, чёрной смородины, переплетающийся с оттенками графита, перца и лакрицы.","Во вкусе можно почувствовать тёмные фрукты, ваниль, черносмородиновый джем, табак и кофе. Полнотелое, мощное с яркой кислотностью и ощутимыми танинами. Невероятно длительный финиш с оттенками чёрного перца и вишни.","Оптическая сортировка ягод, ферментация в стальных и дубовых ёмкостях. Выдержка в дубовых бочках (50% - новые) в течение 14 месяцев.","Отлично сочетается со стейками из говядины, твёрдыми сырами и бараниной.",Decanter – 90/100,"Шато Peyrabon расположено на вершине холма на гравийных почвах в местечке Пойяк, что является благоприятным терруаром для сорта каберне совиньон. Шато входит в актуальную классификацию лучших вин региона Бордо Cru Bourgeous.Для второго вина хозяйства «La Fleur Peyrabon» отведены отдельные 5 га виноградников на хорошо дренируемых почвах.",природосообразное виноделие,2018,,,,
